Date,Time,Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Uncore VID [V],SA VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [?],Core 0 [?],Core 1 [?],Core 2 [?],Core 3 [?],Core Distance to TjMAX (avg) [?],Core 0 Distance to TjMAX [?],Core 1 Distance to TjMAX [?],Core 2 Distance to TjMAX [?],Core 3 Distance to TjMAX [?],CPU Package [?],Core Max [?],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [?],CPU IA Cores [?],CPU GT Cores (Graphics) [?],iGPU VID [V],VR VCC Current (SVID IOUT) [A],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total System Power [W],System Agent Power [W],Rest-of-Chip Power [W],PCH Power [W],PL1 Power Limit (Static) [W],PL1 Power Limit (Dynamic) [W],PL2 Power Limit (Static) [W],PL2 Power Limit (Dynamic) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Current cTDP Level [],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",Drive Temperature [?],Drive Remaining Life [%],Drive Available Spare [%],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Wear Level [%],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Charge Rate [W],
9.7.2024,21:36.6,50,5399,2514,68.2,0.956,0.96,0.952,0.957,0.955,0.871,0.748,3481.7,3481.7,3481.7,3481.7,3481.7,91.6,3206.9,261.6,556.9,84.3,415.9,143.1,280,144.8,272.3,195.8,261.6,6.6,14.2,1.3,10.4,4.3,7,2.8,6.7,5.7,14.2,6.6,100,19.7,41.9,6.6,31.3,11.1,21.2,11,20.3,14.5,19.7,38,38,38,38,38,35,66,67,65,66,64,34,33,35,34,36,67,67,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,71,71,52,0.73,15.235,7.75,3.197,0.297,12.531,1.619,0.518,0.992,51,15,51,51,450,2,0,0,0,0,0,517,2,60.6,6.8,14.6,2.2,10.6,3.7,7.2,3.7,6.9,5.1,80.9,75.9,80.7,83,84.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,93,100,No,No,31105,72426,0.1,0.1,0.2,0.035,0.382,138987,59634,15.984,33.495,99.2,36.3,11.7,11.4,85.68,0.82,613,55,0.321,0.395,-8.415,
9.7.2024,21:38.6,50.1,5411,2503,68.3,1.03,1.037,1.03,1.032,1.02,0.888,0.748,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,557.8,899,331.9,524.3,477.9,705.8,343.5,666,514.1,557.8,15.1,23.5,10,14.1,13,18.6,10.3,17.6,13.8,23.5,15.1,100,41.6,67.3,24.9,39.5,35.5,52.3,25.8,49.1,38.2,41.6,42,42,42,42,42,36,55,56,56,55,54,45,44,44,45,46,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,64,64,54,0.727,6.445,12.216,7.359,0.248,17.431,1.742,0.661,1.221,51,15,51,51,450,2.3,0,0,0,0,0,517,2,38.2,14.4,23.3,8.7,13.6,12.4,18.1,9,17.1,13.2,64.2,57.9,69.3,64.7,65,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,93,100,No,No,31105,72426,6.7,0.7,7.4,4.098,1.667,138995,59638,15.857,33.495,99.2,36.3,17,16.1,58.78,0.9,613,55,3.766,0.356,-14.295,
9.7.2024,21:40.6,50.1,5411,2503,68.3,1.031,1.035,1.027,1.032,1.03,0.888,0.748,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,174.3,428.4,104.9,210.8,87.3,135.9,71.6,153.7,201.6,174.3,3.9,10.8,2.6,5.1,1.3,3.3,0.9,3.3,4.2,10.8,3.9,100,13,32.6,7.7,15.6,6.9,10.4,5.6,10.1,14.7,13,42,42,42,42,42,36,52,50,52,51,57,48,50,48,49,43,53,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,54,0.73,8.496,7.037,2.489,0.264,11.36,1.61,0.471,1.042,51,15,51,51,450,0.6,0,0,0,0,0,516,2,65.3,4.4,11.2,2.6,5.2,2.2,3.5,1.8,3.8,4.9,86.8,79.6,88.4,90.2,89.2,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,93,100,No,No,31105,72426,0,0.1,0.1,0.016,0.31,138995,59638,15.974,33.48,99.1,36.3,21.9,22.2,45.58,0.7,613,55,0.058,0,-11.43,
9.7.2024,21:42.6,50,5409,2504,68.3,1.012,0.96,1.027,1.032,1.027,0.888,0.748,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,139.5,380.5,94.7,169,82.7,193.3,57.7,96.9,40.9,139.5,3.5,9.5,2.3,4.1,2,4.7,1.4,2.7,1,9.5,3.5,100,10.7,29,6.9,12.7,6.6,14.4,4.5,8.4,3,10.7,41,38,42,42,42,36,50,50,51,51,48,50,50,49,49,52,53,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,51,0.73,5.859,6.116,1.861,0.19,10.378,1.576,0.428,0.769,51,15,51,51,450,0.4,0,0,0,0,0,516,2,69.1,3.5,9.9,2.3,4.2,2.1,4.8,1.5,2.5,1,88.5,81.5,89.2,89.5,93.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31105,72426,0,0,0,0,0.218,138995,59639,15.965,33.48,99.1,36.3,14.4,14.6,69.33,0.72,613,55,0.03,0,-11.34,
9.7.2024,21:44.6,50,5412,2502,68.3,1.031,1.035,1.027,1.032,1.027,0.873,0.748,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3206.9,143.2,421.9,24.6,177.1,77.5,257.4,53.4,94.9,39.2,143.2,3.7,10.5,0.5,4.2,2.6,6.2,2,2.2,1.7,10.5,3.7,100,10.8,32,1.9,13.2,6.2,19.1,4.2,7.1,2.9,10.8,42,42,42,42,42,35,50,51,51,52,48,50,49,49,48,52,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,52,0.73,9.082,6.317,1.975,0.204,10.532,1.569,0.427,0.916,51,15,51,51,450,0.3,0,0,0,0,0,516,2,69.7,3.6,11,0.6,4.4,2,6.4,1.4,2.4,1,88.6,82.1,89.7,88.1,94.5,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31105,72426,0,0.1,0.1,0,0.464,138995,59640,15.977,33.48,99.1,36.3,10.9,11,91.78,0.69,613,55,0,0,-8.295,166.3
9.7.2024,21:46.6,50,5408,2506,68.3,1.031,1.035,1.027,1.032,1.027,0.888,0.751,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,148.7,431.5,21.6,278.1,85.7,195.5,61.3,88.2,27.8,148.7,3.5,10.6,0,6.7,1.9,4.6,1.3,2,0.5,10.6,3.5,100,11.3,32.6,1.7,20.3,7,14.9,4.8,6.7,2.1,11.3,42,42,42,42,42,36,50,51,51,50,48,50,49,49,50,52,53,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,52,0.735,6.445,6.335,2.076,0.228,10.551,1.565,0.425,0.839,51,15,51,51,500,0.6,0,0,0,0,0,516,2,68.6,3.8,11.1,0.6,6.9,2.2,4.9,1.6,2.3,0.7,87.7,81.6,86.8,88.4,94.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31105,72426,0,0.1,0.1,0,0.245,138995,59640,15.962,33.465,99.1,36.3,9,9.1,111.72,0.68,613,55,0,0,-8.04,249.7
9.7.2024,21:48.6,50,5408,2505,68.3,1.012,0.96,1.027,1.032,1.027,0.888,0.748,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,143.9,448.7,96.4,172.7,61.7,190.4,64.7,82.3,34.7,143.9,3.5,11,3,4,1.4,4.5,1.4,1.8,0.7,11,3.5,100,10.9,33.8,7,13.1,4.9,14.3,5.2,6.2,2.6,10.9,41,38,42,42,42,36,49,49,51,50,47,51,51,49,50,53,53,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,51,0.73,4.395,6.332,1.943,0.224,10.486,1.564,0.423,0.876,51,15,51,51,450,0.4,0,0,0,0,0,516,2,68.5,3.6,11.5,2.4,4.3,1.6,4.7,1.7,2.1,0.9,88.6,80.4,89.9,89.4,94.7,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31105,72426,0.1,0.2,0.2,0.008,0.322,138995,59641,15.912,33.465,99.1,36.3,7.9,8,127.07,0.65,613,55,0.03,0.053,-8.79,228.4
9.7.2024,21:50.6,50,5408,2505,68.3,1.012,0.96,1.027,1.032,1.027,0.888,0.748,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,139.5,398.8,22.1,190.9,65.2,245.3,57.1,86.9,50.2,139.5,3.2,9.9,0.4,4.5,1.5,5.8,1.2,1.9,0.3,9.9,3.2,100,10.6,30.1,1.7,14.4,5.4,18.2,4.5,6.7,3.7,10.6,41,38,42,42,42,36,49,50,49,50,46,51,50,51,50,54,52,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,51,0.732,5.859,6.14,1.837,0.238,10.413,1.557,0.422,0.853,51,15,51,51,450,0.3,0,0,0,0,0,516,2,69.1,3.5,10.2,0.6,4.8,1.7,6.1,1.5,2.3,1.3,88.3,83.6,88.9,88,92.9,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31105,72426,0,0.1,0.1,0,0.376,138995,59641,15.995,33.465,99.1,36.3,6.8,6.9,146.32,0.64,613,55,2.8,0,-8.025,250.2
9.7.2024,21:52.6,50,5408,2506,68.3,0.992,1.027,1.03,0.957,0.955,0.888,0.748,3665,3848.2,3848.2,3481.7,3481.7,91.6,3298.5,180.8,402.5,68.9,461.9,118.1,169.2,45.5,116.7,63.2,180.8,4.2,10,0.8,11.1,2.8,4,1,2.7,1.4,11.1,4.2,100,13.5,30.5,5.1,33.4,9.2,12.7,3.6,9.2,4.7,13.5,40,42,42,38,38,36,50,51,54,51,46,50,49,46,49,54,53,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60,60,51,0.73,6.445,7.247,2.79,0.196,11.363,1.601,0.497,0.907,51,15,51,51,450,0.7,0,0,0,0,0,516,2,60.5,4.6,10.3,1.7,11.3,3,4.3,1.2,3.1,1.6,85.5,82.2,79.1,90.3,90.5,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31105,72426,0,0.3,0.3,0.049,0.624,138995,59642,15.705,33.45,99,36.3,6.1,6.1,164.25,0.63,613,55,2.75,0,-8.64,232.3
9.7.2024,21:54.6,50,5359,2555,67.7,1.012,0.96,1.027,1.032,1.027,0.888,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,182.6,554.9,25.1,154,64.1,242,146.3,211.1,63.1,182.6,5.4,14.7,2,4.5,2.2,6.5,4.3,5.8,2.9,14.7,5.4,100,14,41.6,2,12.1,5.1,17.9,12.1,15.8,5.4,14,41,38,42,42,42,36,50,51,51,52,47,50,49,49,48,53,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,52,0.73,5.274,6.883,2.429,0.209,11.438,1.59,0.48,1,51,15,51,51,450,0.8,0,0,0,0,0,516,2,64.3,4.7,14.2,0.7,4,1.7,6,3.8,5.3,1.8,84.3,79.2,88.9,83.7,85.5,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31105,72426,0,0.6,0.7,0.008,4.249,138995,59651,15.908,33.45,99,36.3,5.7,5.8,175.55,0.72,613,55,0.058,0.034,-8.22,244.2
