Date,Time,Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Uncore VID [V],SA VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [?],Core 0 [?],Core 1 [?],Core 2 [?],Core 3 [?],Core Distance to TjMAX (avg) [?],Core 0 Distance to TjMAX [?],Core 1 Distance to TjMAX [?],Core 2 Distance to TjMAX [?],Core 3 Distance to TjMAX [?],CPU Package [?],Core Max [?],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [?],CPU IA Cores [?],CPU GT Cores (Graphics) [?],iGPU VID [V],VR VCC Current (SVID IOUT) [A],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total System Power [W],System Agent Power [W],Rest-of-Chip Power [W],PCH Power [W],PL1 Power Limit (Static) [W],PL1 Power Limit (Dynamic) [W],PL2 Power Limit (Static) [W],PL2 Power Limit (Dynamic) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Current cTDP Level [],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",Drive Temperature [?],Drive Remaining Life [%],Drive Available Spare [%],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Charge Rate [W],Wear Level [%],Estimated Remaining Time [mins],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s]
9.7.2024,12:45.9,54.2,5035,2878,63.6,0.837,0.877,0.845,0.847,0.78,0.808,0.733,2956.4,3216.6,3027.4,3027.4,2554.4,94.6,3027.4,980.7,565.8,1269.7,956.8,660.7,991.3,1682,657.3,1062.1,980.7,33.4,20.2,42.6,32.9,23.8,33.2,56.8,22.4,35.5,56.8,33.4,100,70.5,41.7,91.4,69.4,48,71.3,120.6,46.5,75.4,70.5,31.2,34,32,32,27,32,79,76,75,81,83,21,24,25,19,17,83,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,81,81,70,0.715,8.203,15.285,10.786,0.071,20.827,2.117,0.715,0.998,51,15,51,51,500,2.1,0,0,0,0,0,479,2,0,33.4,20.1,42.6,32.8,23.1,33.6,56.4,23,35.9,34.3,39.7,42.5,9,45.9,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,1.3,1.3,0,1.049,160676,69872,13.47,1.995,5.9,-23.19,36.3,5.2,20.8,21.1,48.03,1.01,817,100,0.144,0.034
9.7.2024,12:47.9,54.2,5026,2888,63.5,0.875,0.877,0.872,0.875,0.875,0.808,0.733,3216.6,3216.6,3216.6,3216.6,3216.6,94.6,3027.4,978.7,803,625.9,1334.8,1307.4,1692.4,381.2,982.4,702.5,978.7,33,27.2,21.6,45,41.8,56.3,13.1,33.2,25.3,56.3,33,100,71.1,58.9,45.6,96,94,121.7,27.8,72.6,52.4,71.1,34,34,34,34,34,32,79,76,82,83,74,21,24,18,17,26,83,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,82,82,70,0.715,7.91,14.955,10.253,0.093,20.85,2.137,0.726,1.148,51,15,51,51,500,2.7,0,0,0,0,0,476,2,0,33.3,27.7,22.2,45.4,42.7,56.7,13.7,33.1,25,34.5,50.8,19.2,26.1,41.9,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,0.4,0.4,0,0.471,160676,69873,13.454,1.98,5.9,-23.235,36.3,5.1,27.7,27.3,36.15,0.68,817,100,0,0
9.7.2024,12:49.9,54.2,5028,2886,63.5,0.799,0.865,0.772,0.777,0.782,0.788,0.733,2696.3,3122,2554.4,2554.4,2554.4,94.6,2932.8,933,671.4,117.8,1097.2,949.1,2219.4,713.4,1362,333.4,933,29.9,23,4.2,34.7,29.7,68.9,22.9,43.4,12.4,68.9,29.9,100,67.2,49,9.2,78.9,68.2,159,51.2,98,24.4,67.2,28.5,33,27,27,27,31,78,75,82,82,74,22,25,18,18,26,83,82,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,83,83,70,0.715,8.496,15.261,10.914,0.02,20.56,2.079,0.613,0.929,51,15,51,51,500,0.5,0,0,0,0,0,476,2,0,29.8,22.9,4.1,34.6,29.6,68.9,22.7,43.3,12.1,41.2,67.3,39.9,13.7,44.1,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,0.1,0.1,0,0.191,160676,69873,13.485,1.95,5.8,-22.68,36.3,5.2,27,27.3,36.98,0.6,817,100,0,0
9.7.2024,12:51.9,54.2,5024,2889,63.4,0.771,0.837,0.742,0.752,0.752,0.763,0.733,2507.1,2932.8,2365.2,2365.2,2365.2,94.6,2743.6,920.4,324.4,533.4,1652.2,1214.4,1854.2,268.4,1041.8,474.3,920.4,29.7,11.3,17.5,52.7,39.2,60,8.1,33.6,15.3,60,29.7,100,66.3,24.3,38.8,118.3,87,132.9,19.4,75.1,34.5,66.3,26.5,31,25,25,25,29,77,73,82,77,76,23,27,18,23,24,82,82,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,81,81,70,0.715,7.031,15.661,11.274,0.018,20.605,2.103,0.616,0.954,51,15,51,51,500,0.6,0,0,0,0,0,476,2,0,29.6,11.1,17.4,53,38.6,59.6,8.6,33.5,15,40.1,70.1,12.4,25.3,52.8,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,53,93,100,No,No,31116,72449,0,0.8,0.8,0,0.48,160676,69874,13.468,1.92,5.7,-22.755,36.3,5,15,15,66.6,0.56,817,100,0.029,0
9.7.2024,12:53.9,54.2,5023,2891,63.4,0.813,0.837,0.815,0.82,0.78,0.753,0.733,2790.9,2932.8,2838.2,2838.2,2554.4,94.6,2649,922.2,412.5,258.4,764.2,1753.3,785,1317.3,942.3,1144.3,922.2,29.2,13.3,8.4,24,55.8,24.4,41.9,29.6,36.3,55.8,29.2,100,66.4,30.6,19.2,55,125.5,56.5,94.4,67.9,82.2,66.4,29.5,31,30,30,27,28,78,73,82,79,77,22,27,18,21,23,81,82,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,79,79,70,0.717,6.738,15.093,10.882,0.021,20.562,2.087,0.617,0.813,51,15,51,51,500,0.7,0,0,0,0,0,476,2,0,29.6,13.8,8.9,23.8,56.4,25.4,42.2,29.9,36.6,40.8,74.5,23.3,32.4,32.9,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,93,100,No,No,31116,72449,0,0.1,0.1,0,0.278,160676,69874,13.493,1.905,5.6,-22.71,36.3,5,11.7,11.7,85.59,0.61,817,100,0,0
9.7.2024,12:55.9,54.2,5024,2890,63.4,0.806,0.812,0.797,0.81,0.805,0.746,0.733,2743.6,2743.6,2743.6,2743.6,2743.6,94.6,2554.4,912.8,316.3,109.7,1448.6,1420,1386.7,546.8,610.2,1463.9,912.8,29.2,10.7,3.7,44.8,45.9,44.7,17.4,18.6,47.6,47.6,29.2,100,65.8,23.8,8.6,103.8,101.7,99.7,39.6,44.1,104.9,65.8,29,29,29,29,29,27,76,69,83,70,82,24,31,17,30,18,83,83,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,81,81,70,0.715,7.91,14.708,10.347,0.03,20.51,2.105,0.627,0.913,51,15,51,51,500,0.9,0,0,0,0,0,476,2,0,29.3,10.9,3.9,45.2,45.9,44.4,17.5,19.3,47.7,40.6,81.7,12,36.8,32,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,0.1,0.1,0,0.158,160676,69875,13.488,1.89,5.6,-22.65,36.3,5,9.8,9.9,101.78,0.64,817,100,0.087,0
9.7.2024,12:57.9,54.1,5019,2895,63.4,0.871,0.862,0.872,0.877,0.872,0.788,0.733,3193,3122,3216.6,3216.6,3216.6,94.6,2932.8,922,435.6,852.8,1960.8,917,519.1,680.6,1591.3,418.7,922,30.4,16.1,27.1,64,30.2,18.6,22.8,51,13.9,64,30.4,100,66.4,32.1,61.5,140.3,65.8,37.8,49.2,114.1,30.5,66.4,33.8,33,34,34,34,31,76,79,73,72,82,24,21,27,28,18,82,82,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,78,78,71,0.715,8.496,14.874,10.385,0.026,20.477,2.118,0.642,1.027,51,15,51,51,500,0.8,0,0,0,0,0,476,2,0,30.4,16.2,27.8,63.7,29.7,18.7,22.3,51.1,13.8,39.2,55.4,7.7,57.9,35.9,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,93,100,No,No,31116,72449,0,0.1,0.1,0,0.332,160676,69875,13.492,1.845,5.5,-22.56,36.3,4.9,8.7,8.8,114.86,0.72,817,100,0,0
9.7.2024,12:59.9,54.2,5025,2889,63.4,0.861,0.877,0.87,0.877,0.817,0.806,0.733,3122,3216.6,3216.6,3216.6,2838.2,94.6,3027.4,968.1,585.3,492.6,1273.4,1382.5,721.3,665.9,1117.1,1506.7,968.1,32.8,20.3,18.8,41.6,46,25.8,22,37.7,49.8,49.8,32.8,100,69.9,43.4,35.9,91.5,99.2,52.5,48.2,80.3,108.1,69.9,33,34,34,34,30,32,78,70,85,72,84,22,30,15,28,16,85,85,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,84,84,70,0.715,7.324,15.154,10.666,0.024,20.612,2.124,0.663,1.031,51,15,51,51,500,0.7,0,0,0,0,0,476,2,0,32.5,20.1,17.9,41.9,45.8,25.7,21.8,37,49.6,35.6,59.9,16.6,48,18.1,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,0.1,0.1,0.016,0.332,160677,69876,13.481,1.83,5.4,-22.695,36.3,4.8,7.9,8.1,125.97,0.76,817,100,0,0
9.7.2024,13:01.9,54.1,5020,2894,63.4,0.847,0.865,0.855,0.837,0.832,0.788,0.733,3027.4,3122,3122,2932.8,2932.8,94.6,2365.2,938.7,930,561.7,1123.4,547.4,1105.9,903.1,1272.9,1065.4,938.7,30.6,30.6,18.8,37.2,17.7,36,29.2,39.9,35.6,39.9,30.6,100,67.7,67.5,40.8,80.9,39.6,79.6,65,91.4,76.6,67.7,32,33,33,31,31,25,77,69,85,70,85,23,31,15,30,15,85,85,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,84,84,71,0.715,8.496,14.995,10.52,0.018,20.64,2.096,0.641,0.997,51,15,51,51,500,0.4,0,0,0,0,0,475,2,0,30.8,30.7,18.8,37.2,17.8,36,29.2,40.9,35.5,38.7,49.6,42.2,36,27.1,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,93,100,No,No,31116,72449,0,1.3,1.3,0.008,0.494,160677,69877,13.493,1.8,5.3,-22.785,36.3,4.7,7.4,7.5,134.4,0.78,817,100,2.829,0.034
9.7.2024,13:03.9,54.2,5024,2890,63.4,0.851,0.862,0.845,0.85,0.847,0.791,0.733,3051.1,3122,3027.4,3027.4,3027.4,94.6,2932.8,929.9,433.6,319.1,1142.5,1492.9,1095.2,946,960.2,1049.3,929.9,30.2,15.4,10.4,38.3,47.3,35.2,30.3,31.4,33.7,47.3,30.2,100,67,32.1,23.5,82,107,78.8,68.1,69.2,75.6,67,32.2,33,32,32,32,31,77,81,73,74,81,23,19,27,26,19,81,81,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,80,80,70,0.715,8.203,14.232,9.798,0.02,20.581,2.107,0.621,0.985,51,15,51,51,500,0.5,0,0,0,0,0,475,2,0,30,15.3,10.2,37.7,47.1,35.1,30.1,30.8,33.5,39.7,71.3,9.9,37.1,40.3,2018.3,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,52,93,100,No,No,31116,72449,0,0.3,0.3,0.016,0.5,160677,69878,13.461,1.785,5.3,-22.605,36.3,4.7,6.6,6.7,150.95,0.73,817,100,2.741,0
