Date,Time,Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Uncore VID [V],SA VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [?],Core 0 [?],Core 1 [?],Core 2 [?],Core 3 [?],Core Distance to TjMAX (avg) [?],Core 0 Distance to TjMAX [?],Core 1 Distance to TjMAX [?],Core 2 Distance to TjMAX [?],Core 3 Distance to TjMAX [?],CPU Package [?],Core Max [?],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [?],CPU IA Cores [?],CPU GT Cores (Graphics) [?],iGPU VID [V],VR VCC Current (SVID IOUT) [A],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total System Power [W],System Agent Power [W],Rest-of-Chip Power [W],PCH Power [W],PL1 Power Limit (Static) [W],PL1 Power Limit (Dynamic) [W],PL2 Power Limit (Static) [W],PL2 Power Limit (Dynamic) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Current cTDP Level [],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",Drive Temperature [?],Drive Remaining Life [%],Drive Available Spare [%],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Wear Level [%],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Charge Rate [W],Estimated Remaining Time [mins]
9.7.2024,20:37.5,49.9,4887,3026,61.7,1.013,0.96,1.03,1.032,1.03,0.868,0.746,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3206.9,410.9,712.1,199.7,700.5,202.6,465.9,205.4,443,358.2,410.9,10.3,17.9,4.8,17.5,4.9,11.7,5.7,10.9,8.9,17.9,10.3,100,30.8,53.6,15.4,51.9,15.3,34.9,15.7,33.1,26.8,30.8,41,38,42,42,42,35,58,57,59,57,57,42,43,41,43,43,59,59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,66,66,56,0.73,8.203,10.286,5.466,0.265,15.006,1.758,0.616,1.109,51,15,51,51,500,2.9,0,0,0,0,0,431,2,46.4,10.6,18.6,5.2,17.9,5.3,12.2,5.3,11.4,9.3,70.7,64.1,71.8,75,72.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0.2,0.5,0.7,0.075,1.314,140451,60820,14.44,23.775,70.4,36.3,13.5,13.7,73.9,0.86,615,55,0.029,0,-20.73,68.8
9.7.2024,20:39.5,49.9,4889,3025,61.7,1.032,1.037,1.03,1.032,1.027,0.888,0.746,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,190.1,478.2,58.1,331,50.8,222.5,74.5,147.6,158.2,190.1,4.3,11.9,0.6,8,0.4,5.4,1.7,3.6,3.1,11.9,4.3,100,14.4,35.9,4.5,25.1,4,16.5,5.8,11.2,11.9,14.4,42,42,42,42,42,36,55,56,56,55,52,45,44,44,45,48,57,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,64,64,56,0.73,9.375,7.271,2.687,0.263,11.148,1.665,0.47,0.86,51,15,51,51,500,1,0,0,0,0,0,431,2,62.7,4.8,12.2,1.5,8.4,1.3,5.6,1.9,3.7,4,85.2,80.2,84.2,88.3,88.2,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.359,140451,60820,15.012,23.76,70.3,36.3,16.7,16.8,59.71,0.79,615,55,2.741,0,-14.7,97
9.7.2024,20:41.5,49.9,4888,3026,61.7,1.032,1.037,1.03,1.032,1.03,0.888,0.746,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,177,434.1,32.6,257.4,109.2,168.7,127.6,222.1,64.7,177,4.2,10.8,0,6.2,3.3,4,2.2,5.3,2.2,10.8,4.2,100,13.4,32.8,2.5,19.4,8,13.1,9.6,16.4,5,13.4,42,42,42,42,42,36,55,56,56,55,53,45,44,44,45,47,57,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,62,56,0.732,6.445,7.225,2.608,0.238,11.009,1.653,0.443,1.009,51,15,51,51,500,0.5,0,0,0,0,0,431,2,64.2,4.5,11.1,0.9,6.5,2.7,4.4,3.2,5.5,1.7,86.2,82,86.6,86.7,89.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31106,72428,0,0.1,0.1,0.016,0.365,140451,60821,14.987,23.76,70.3,36.3,15.2,15.3,65.85,0.65,615,55,0.059,0.034,-9.165,155.5
9.7.2024,20:43.5,49.9,4888,3026,61.7,0.994,0.96,1.03,1.032,0.955,0.886,0.746,3665,3481.7,3848.2,3848.2,3481.7,91.6,3298.5,143.6,413.2,97.5,216.9,39.4,47,81.7,173,80.3,143.6,4.3,10.9,4.5,5.9,0.9,1.8,3.4,4.8,1.9,10.9,4.3,100,10.9,31.2,7.1,16.7,3.1,3.7,6.4,12.7,6.3,10.9,40,38,42,42,38,36,54,54,55,55,52,46,46,45,45,48,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,62,55,0.732,6.445,6.235,1.823,0.21,10.609,1.632,0.426,0.852,51,15,51,51,500,0.4,0,0,0,0,0,431,2,68.3,3.6,10.6,2.4,5.5,1,1.2,2.1,4.3,2.1,88.2,81.5,88.3,92.6,90.4,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.2,0.2,0.008,0.243,140451,60821,14.982,23.745,70.3,36.3,11.6,11.7,86.01,0.62,615,55,0.087,0,-9.405,151.5
9.7.2024,20:45.5,49.8,4884,3030,61.7,1.013,0.96,1.03,1.032,1.03,0.888,0.746,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,139.7,455.2,23.7,216.6,60.8,126.1,66.5,99.1,69.3,139.7,3.4,11.2,0,4.4,2.1,3,1.5,2.3,2.4,11.2,3.4,100,10.7,34,1.9,16.3,5.3,9.3,5.3,7.9,5.3,10.7,41,38,42,42,42,36,54,54,55,55,53,46,46,45,45,47,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,62,55,0.732,6.445,6.348,1.971,0.217,10.409,1.622,0.421,0.829,51,15,51,51,500,0.3,0,0,0,0,0,431,2,69.1,3.6,11.5,0.6,5.4,1.7,3.1,1.7,2.6,1.7,88.4,82.6,87.8,91.3,91.9,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.36,140451,60822,14.997,23.745,70.3,36.3,10.3,9.2,97.28,0.61,615,55,0,0,-8.79,162.1
9.7.2024,20:47.5,49.8,4884,3030,61.7,1.012,0.96,1.03,1.032,1.027,0.888,0.748,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,138,425.5,25.4,172.4,37.5,234.8,55.6,88.6,64.1,138,3.3,10.5,1.2,4.8,0.7,4.7,1.1,1.9,1.4,10.5,3.3,100,10.5,32,2,13.4,2.9,17.3,4.5,6.8,5,10.5,41,38,42,42,42,36,53,54,54,53,51,47,46,46,47,49,56,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,63,63,55,0.732,7.031,6.363,2.012,0.232,10.191,1.61,0.417,0.807,51,15,51,51,500,0.4,0,0,0,0,0,431,2,69.6,3.5,10.9,0.7,4.4,1,5.8,1.5,2.3,1.6,88.5,82.8,90.1,88.5,92.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.368,140451,60823,15.029,23.745,70.3,36.3,7.9,8,126.02,0.6,615,55,0.029,0,-9.015,158
9.7.2024,20:49.5,49.8,4884,3030,61.7,1.012,0.96,1.03,1.032,1.027,0.888,0.746,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,148.7,414.1,105.6,222.8,43.9,77.7,79.3,187.6,58.3,148.7,3.5,10.2,3.2,5.3,0.9,1.8,1.7,4.3,0.5,10.2,3.5,100,11.3,31.2,7.9,16.8,3.3,5.8,6,14.5,4.8,11.3,41,38,42,42,42,36,53,55,53,53,51,47,45,47,47,49,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,63,63,55,0.727,6.152,6.238,1.999,0.176,10.288,1.609,0.427,0.746,51,15,51,51,450,0.5,0,0,0,0,0,431,2,68.7,3.8,10.6,2.7,5.6,1.1,2,2,4.8,1.5,87.9,81.4,89.1,92.8,88.4,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0,0,0,0.277,140451,60823,14.958,23.73,70.2,36.3,7.1,7.2,141.82,0.58,615,55,0,0,-8.64,164.8
9.7.2024,20:51.5,49.8,4886,3028,61.7,0.994,1.035,1.03,0.957,0.955,0.888,0.748,3665,3848.2,3848.2,3481.7,3481.7,91.6,3206.9,138.9,435.2,20.5,185.8,33.9,201.3,69.3,126.1,38.9,138.9,3.3,10.8,0.5,4.5,0,5.5,1.6,3,0.9,10.8,3.3,100,10.5,32.9,1.6,14.2,2.6,14.9,5.3,9.3,3.2,10.5,40,42,42,38,38,35,53,54,54,53,51,47,46,46,47,49,56,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,62,62,55,0.727,5.274,6.653,2.105,0.186,10.44,1.605,0.42,0.994,51,15,51,51,450,0.3,0,0,0,0,0,431,2,69.4,3.5,11.2,0.6,4.7,0.9,5,1.7,3.2,1,88.7,82.3,90.3,89.4,92.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0.1,0.2,0.3,0.049,0.483,140451,60824,15,23.73,70.2,36.3,6.5,6.6,153.97,0.57,615,55,0,0,-8.655,164.5
9.7.2024,20:53.5,49.8,4886,3028,61.7,1.031,1.035,1.03,1.032,1.027,0.888,0.748,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,137,450.6,17.3,181.9,37.5,203.3,88.3,83.8,33.5,137,3,11.2,0,3.6,1.6,4.8,1.3,1.2,0.7,11.2,3,100,10.4,33.9,1.4,14,2.9,15.2,6.7,6.3,2.9,10.4,42,42,42,42,42,36,53,54,54,53,51,47,46,46,47,49,56,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,64,64,54,0.732,6.152,6.417,2.115,0.165,10.138,1.593,0.42,0.776,51,15,51,51,500,0.3,0,0,0,0,0,431,2,68.9,3.5,11.6,0.5,4.6,1,5.1,2.2,2.1,0.9,88.5,81.5,90.5,88.6,93.2,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.2,0.2,0,0.428,140451,60825,14.952,23.715,70.2,36.3,5.8,5.9,171.27,0.57,615,55,0.088,0,-8.7,163.6
9.7.2024,20:55.5,49.8,4885,3028,61.7,1.013,0.96,1.03,1.032,1.03,0.888,0.748,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,144.1,438.7,16.9,217.8,45.1,125.2,76,200.1,33.2,144.1,4.6,11.5,1.8,6.6,1.7,3.6,3.2,6.1,2.2,11.5,4.6,100,11,32.9,1.4,16.4,3.4,9.9,5.9,14.8,2.8,11,41,38,42,42,42,36,53,53,54,53,53,47,47,46,47,47,55,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,54,0.727,6.738,6.501,2.064,0.156,10.498,1.601,0.422,0.945,51,15,51,51,450,0.4,0,0,0,0,0,431,2,68.7,3.7,11.2,0.5,5.5,1.1,3.3,1.9,5,0.9,87.9,82.6,89.5,89.8,89.9,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.319,140451,60826,14.89,23.715,70.2,36.3,5.3,5.3,188.65,0.57,615,55,0.058,0.034,-10.77,132.1
