Date,Time,Physical Memory Used [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core Clocks (avg) [MHz],Core Effective Clocks (avg) [MHz],Total CPU Usage [%],Core Temperatures (avg),CPU Package,CPU Package Power [W],Total System Power [W],Memory Clock [MHz],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Wear Level [%],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Charge Rate [W],Battery_Percentage
9.7.2024,12:45.9,5035,63.6,0.837,2956.4,980.7,51.3,79,83,15.285,20.827,2018.3,0,1.3,1.3,0,1.049,13.47,1.995,5.9,36.3,817,100,0.144,0.034,-23.19,100
9.7.2024,12:47.9,5026,63.5,0.875,3216.6,978.7,39.9,79,83,14.955,20.85,2018.3,0,0.4,0.4,0,0.471,13.454,1.98,5.9,36.3,817,100,0,0,-23.235,100
9.7.2024,12:49.9,5028,63.5,0.799,2696.3,933,39.3,78,83,15.261,20.56,2018.3,0,0.1,0.1,0,0.191,13.485,1.95,5.8,36.3,817,100,0,0,-22.68,100
9.7.2024,12:51.9,5024,63.4,0.771,2507.1,920.4,34.9,77,82,15.661,20.605,2018.3,0,0.8,0.8,0,0.48,13.468,1.92,5.7,36.3,817,100,0.029,0,-22.755,100
9.7.2024,12:53.9,5023,63.4,0.813,2790.9,922.2,34.6,78,81,15.093,20.562,2018.3,0,0.1,0.1,0,0.278,13.493,1.905,5.6,36.3,817,100,0,0,-22.71,100
9.7.2024,12:55.9,5024,63.4,0.806,2743.6,912.8,34.6,76,83,14.708,20.51,2018.3,0,0.1,0.1,0,0.158,13.488,1.89,5.6,36.3,817,100,0.087,0,-22.65,100
9.7.2024,12:57.9,5019,63.4,0.871,3193,922,34.2,76,82,14.874,20.477,2018.3,0,0.1,0.1,0,0.332,13.492,1.845,5.5,36.3,817,100,0,0,-22.56,100
9.7.2024,12:59.9,5025,63.4,0.861,3122,968.1,34.1,78,85,15.154,20.612,2018.3,0,0.1,0.1,0.016,0.332,13.481,1.83,5.4,36.3,817,100,0,0,-22.695,100
9.7.2024,13:01.9,5020,63.4,0.847,3027.4,938.7,34.1,77,85,14.995,20.64,2018.3,0,1.3,1.3,0.008,0.494,13.493,1.8,5.3,36.3,817,100,2.829,0.034,-22.785,100
9.7.2024,13:03.9,5024,63.4,0.851,3051.1,929.9,33.9,77,81,14.232,20.581,2018.3,0,0.3,0.3,0.016,0.5,13.461,1.785,5.3,36.3,817,100,2.741,0,-22.605,100
